Baseline 100%T,,Baseline 100%T,,Ti(Salen)(OiPr)2,,Ti(Salen)(OiPr)2 + AgBArF,,Ti(Salen)(OiPr)2 + AgBArF repeat,,Ti(Salen)(OiPr)2 + AgBArF + BIPY,,AgBArF ref,,BIPY ref,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
703.999939,0.06364497542,703.999939,0.06364497542,703.999939,0.002386969514,703.999939,0.002487685997,703.999939,0.003818532685,703.999939,0.03266813233,703.999939,0.04921475053,703.999939,0.02347657643,
702.992981,0.06500424445,702.992981,0.06500424445,702.992981,0.001966576325,702.992981,0.002087067114,702.992981,0.004146786407,702.992981,0.03191740811,702.992981,0.04876667634,702.992981,0.02278018743,
701.9857178,0.06579544395,701.9857178,0.06579544395,701.9857178,0.001929574995,701.9857178,0.002115991898,701.9857178,0.005390520673,701.9857178,0.03258631378,701.9857178,0.04895569757,701.9857178,0.02304660529,
701.0140991,0.06642212719,701.0140991,0.06642212719,701.0140991,0.002155246446,701.0140991,0.002190185478,701.0140991,0.005991705228,701.0140991,0.03257478774,701.0140991,0.04935390502,701.0140991,0.02310166508,
700.0062866,0.06768913567,700.0062866,0.06768913567,700.0062866,0.001625778852,700.0062866,0.002009926364,700.0062866,0.005096290261,700.0062866,0.03221391141,700.0062866,0.04886081442,700.0062866,0.0229491666,
698.9979858,0.06806497276,698.9979858,0.06806497276,698.9979858,0.001908072503,698.9979858,0.002289841417,698.9979858,0.004310470074,698.9979858,0.03258553147,698.9979858,0.04920880869,698.9979858,0.02327049524,
697.9894409,0.068722561,697.9894409,0.068722561,697.9894409,0.002085662447,697.9894409,0.002494559158,697.9894409,0.004110905342,697.9894409,0.03277589753,697.9894409,0.04941809177,697.9894409,0.02338745631,
697.0166016,0.06934638321,697.0166016,0.06934638321,697.0166016,0.002333874349,697.0166016,0.002549262252,697.0166016,0.005213748664,697.0166016,0.03283740208,697.0166016,0.04955530912,697.0166016,0.02359405905,
696.0073853,0.07035566866,696.0073853,0.07035566866,696.0073853,0.00196418399,696.0073853,0.002307094866,696.0073853,0.005102942698,696.0073853,0.03272169083,696.0073853,0.04916534945,696.0073853,0.02342119627,
694.9978027,0.07085423172,694.9978027,0.07085423172,694.9978027,0.002117994707,694.9978027,0.002224737313,694.9978027,0.005396679975,694.9978027,0.03296612576,694.9978027,0.04933581129,694.9978027,0.02364484221,
693.987915,0.07136959583,693.987915,0.07136959583,693.987915,0.002199993934,693.987915,0.002137374599,693.987915,0.004895238206,693.987915,0.03290550038,693.987915,0.04947865754,693.987915,0.02406345122,
693.013855,0.07202952355,693.013855,0.07202952355,693.013855,0.002139533637,693.013855,0.002215396613,693.013855,0.003913547844,693.013855,0.03311293945,693.013855,0.04885693267,693.013855,0.02394898981,
692.0033569,0.07258459181,692.0033569,0.07258459181,692.0033569,0.002116225893,692.0033569,0.002292313613,692.0033569,0.003908584826,692.0033569,0.03295417503,692.0033569,0.04946870729,692.0033569,0.02416842058,
690.9924927,0.07345490903,690.9924927,0.07345490903,690.9924927,0.001583584351,690.9924927,0.002108578337,690.9924927,0.003540318692,690.9924927,0.03274025396,690.9924927,0.04906022176,690.9924927,0.023826655,
690.0174561,0.07367860526,690.0174561,0.07367860526,690.0174561,0.002245448763,690.0174561,0.002343712142,690.0174561,0.003506653942,690.0174561,0.03301762789,690.0174561,0.04959566891,690.0174561,0.02412534691,
689.0059814,0.07401416451,689.0059814,0.07401416451,689.0059814,0.002418361139,689.0059814,0.002472950611,689.0059814,0.00378949428,689.0059814,0.03343360499,689.0059814,0.0501146391,689.0059814,0.02449204959,
687.9942017,0.07487270981,687.9942017,0.07487270981,687.9942017,0.001978174085,687.9942017,0.002316723811,687.9942017,0.003598051146,687.9942017,0.03295079619,687.9942017,0.0499337092,687.9942017,0.02411587723,
686.9819946,0.07559414953,686.9819946,0.07559414953,686.9819946,0.001992138568,686.9819946,0.002121870639,686.9819946,0.003366724355,686.9819946,0.03302335367,686.9819946,0.05009944364,686.9819946,0.02405529842,
686.0056763,0.07544977963,686.0056763,0.07544977963,686.0056763,0.002271886216,686.0056763,0.002636682009,686.0056763,0.00407847669,686.0056763,0.03368339315,686.0056763,0.0508534275,686.0056763,0.02454110421,
684.992981,0.0761987716,684.992981,0.0761987716,684.992981,0.001998249674,684.992981,0.002257027896,684.992981,0.003627546597,684.992981,0.03339468688,684.992981,0.05061750486,684.992981,0.02444864251,
684.0160522,0.07632932067,684.0160522,0.07632932067,684.0160522,0.002091254806,684.0160522,0.002404955681,684.0160522,0.004053627606,684.0160522,0.03347733244,684.0160522,0.05103048682,684.0160522,0.02466290072,
683.0026245,0.07691466063,683.0026245,0.07691466063,683.0026245,0.00197658781,683.0026245,0.002538820961,683.0026245,0.003740065498,683.0026245,0.03348798305,683.0026245,0.05121303722,683.0026245,0.02425480075,
681.9888916,0.07705365121,681.9888916,0.07705365121,681.9888916,0.002239048015,681.9888916,0.002324739471,681.9888916,0.003854990005,681.9888916,0.03388185427,681.9888916,0.05124245584,681.9888916,0.02455844358,
681.0111084,0.07740215957,681.0111084,0.07740215957,681.0111084,0.002273031045,681.0111084,0.002302358625,681.0111084,0.004010569304,681.0111084,0.03397094458,681.0111084,0.05160711333,681.0111084,0.02440198138,
679.9967041,0.07788283378,679.9967041,0.07788283378,679.9967041,0.001844429295,679.9967041,0.00235839095,679.9967041,0.003698187182,679.9967041,0.03393486142,679.9967041,0.05161580071,679.9967041,0.02428540401,
678.9820557,0.07811287791,678.9820557,0.07811287791,678.9820557,0.002004543087,678.9820557,0.002458710456,678.9820557,0.003600530559,678.9820557,0.03448010981,678.9820557,0.05181968585,678.9820557,0.02467654645,
